Date,Customer,kW
1/1/2011 0:00,customer1,0.0
1/1/2011 1:00,customer1,0.0
1/1/2011 2:00,customer1,0.0
1/1/2011 3:00,customer1,0.0
1/1/2011 4:00,customer1,0.0
1/1/2011 5:00,customer1,0.0
1/1/2011 6:00,customer1,0.0
1/1/2011 7:00,customer1,0.0
1/1/2011 8:00,customer1,0.0
1/1/2011 9:00,customer1,0.0
1/1/2011 10:00,customer1,0.0
1/1/2011 11:00,customer1,0.0
1/1/2011 12:00,customer1,0.0
1/1/2011 13:00,customer1,0.0
1/1/2011 14:00,customer1,0.0
1/1/2011 15:00,customer1,0.0
1/1/2011 16:00,customer1,0.0
1/1/2011 17:00,customer1,0.0
1/1/2011 18:00,customer1,0.0
1/1/2011 19:00,customer1,0.0
1/1/2011 20:00,customer1,0.0
1/1/2011 21:00,customer1,0.0
1/1/2011 22:00,customer1,0.0
1/1/2011 23:00,customer1,0.0
1/2/2011 0:00,customer1,0.0
1/2/2011 1:00,customer1,0.0
1/2/2011 2:00,customer1,0.0
1/2/2011 3:00,customer1,0.0
1/2/2011 4:00,customer1,0.0
1/2/2011 5:00,customer1,0.0
1/2/2011 6:00,customer1,0.0
1/2/2011 7:00,customer1,0.0
1/2/2011 8:00,customer1,0.0
1/2/2011 9:00,customer1,0.0
1/2/2011 10:00,customer1,0.0
1/2/2011 11:00,customer1,0.0
1/2/2011 12:00,customer1,0.0
1/2/2011 13:00,customer1,0.0
1/2/2011 14:00,customer1,0.0
1/2/2011 15:00,customer1,0.0
1/2/2011 16:00,customer1,0.0
1/2/2011 17:00,customer1,0.0
1/2/2011 18:00,customer1,0.0
1/2/2011 19:00,customer1,0.0
1/2/2011 20:00,customer1,0.0
1/2/2011 21:00,customer1,0.0
1/2/2011 22:00,customer1,0.0
1/2/2011 23:00,customer1,0.0
1/3/2011 0:00,customer1,0.0
1/3/2011 1:00,customer1,0.0
1/3/2011 2:00,customer1,0.0
1/3/2011 3:00,customer1,0.0
1/3/2011 4:00,customer1,0.0
1/3/2011 5:00,customer1,0.0
1/3/2011 6:00,customer1,0.0
1/3/2011 7:00,customer1,0.0
1/3/2011 8:00,customer1,0.0
1/3/2011 9:00,customer1,0.0
1/3/2011 10:00,customer1,0.0
1/3/2011 11:00,customer1,0.0
1/3/2011 12:00,customer1,0.0
1/3/2011 13:00,customer1,0.0
1/3/2011 14:00,customer1,0.0
1/3/2011 15:00,customer1,0.0
1/3/2011 16:00,customer1,0.0
1/3/2011 17:00,customer1,0.0
1/3/2011 18:00,customer1,0.0
1/3/2011 19:00,customer1,0.0
1/3/2011 20:00,customer1,0.0
1/3/2011 21:00,customer1,0.0
1/3/2011 22:00,customer1,0.0
1/3/2011 23:00,customer1,0.0
1/4/2011 0:00,customer1,0.0
1/4/2011 1:00,customer1,0.0
1/4/2011 2:00,customer1,0.0
1/4/2011 3:00,customer1,0.0
1/4/2011 4:00,customer1,0.0
1/4/2011 5:00,customer1,0.0
1/4/2011 6:00,customer1,0.0
1/4/2011 7:00,customer1,0.0
1/4/2011 8:00,customer1,0.0
1/4/2011 9:00,customer1,0.0
1/4/2011 10:00,customer1,0.0
1/4/2011 11:00,customer1,0.0
1/4/2011 12:00,customer1,0.0
1/4/2011 13:00,customer1,0.0
1/4/2011 14:00,customer1,0.0
1/4/2011 15:00,customer1,0.0
1/4/2011 16:00,customer1,0.0
1/4/2011 17:00,customer1,0.0
1/4/2011 18:00,customer1,0.0
1/4/2011 19:00,customer1,0.0
1/4/2011 20:00,customer1,0.0
1/4/2011 21:00,customer1,0.0
1/4/2011 22:00,customer1,0.0
1/4/2011 23:00,customer1,0.0
1/5/2011 0:00,customer1,0.0
1/5/2011 1:00,customer1,0.0
1/5/2011 2:00,customer1,0.0
1/5/2011 3:00,customer1,0.0
1/5/2011 4:00,customer1,0.0
1/5/2011 5:00,customer1,0.0
1/5/2011 6:00,customer1,0.0
1/5/2011 7:00,customer1,0.0
1/5/2011 8:00,customer1,0.0
1/5/2011 9:00,customer1,0.0
1/5/2011 10:00,customer1,0.0
1/5/2011 11:00,customer1,0.0
1/5/2011 12:00,customer1,0.0
1/5/2011 13:00,customer1,0.0
1/5/2011 14:00,customer1,0.0
1/5/2011 15:00,customer1,0.0
1/5/2011 16:00,customer1,0.0
1/5/2011 17:00,customer1,0.0
1/5/2011 18:00,customer1,0.0
1/5/2011 19:00,customer1,0.0
1/5/2011 20:00,customer1,0.0
1/5/2011 21:00,customer1,0.0
1/5/2011 22:00,customer1,0.0
1/5/2011 23:00,customer1,0.0
1/6/2011 0:00,customer1,0.0
1/6/2011 1:00,customer1,0.0
1/6/2011 2:00,customer1,0.0
1/6/2011 3:00,customer1,0.0
1/6/2011 4:00,customer1,0.0
1/6/2011 5:00,customer1,0.0
1/6/2011 6:00,customer1,0.0
1/6/2011 7:00,customer1,0.0
1/6/2011 8:00,customer1,0.0
1/6/2011 9:00,customer1,0.0
1/6/2011 10:00,customer1,0.0
1/6/2011 11:00,customer1,0.0
1/6/2011 12:00,customer1,0.0
1/6/2011 13:00,customer1,0.0
1/6/2011 14:00,customer1,0.0
1/6/2011 15:00,customer1,0.0
1/6/2011 16:00,customer1,0.0
1/6/2011 17:00,customer1,0.0
1/6/2011 18:00,customer1,0.0
1/6/2011 19:00,customer1,0.0
1/6/2011 20:00,customer1,0.0
1/6/2011 21:00,customer1,0.0
1/6/2011 22:00,customer1,0.0
1/6/2011 23:00,customer1,0.0
1/7/2011 0:00,customer1,0.0
1/7/2011 1:00,customer1,0.0
1/7/2011 2:00,customer1,0.0
1/7/2011 3:00,customer1,0.0
1/7/2011 4:00,customer1,0.0
1/7/2011 5:00,customer1,0.0
1/7/2011 6:00,customer1,0.0
1/7/2011 7:00,customer1,0.0
1/7/2011 8:00,customer1,0.0
